id,name,address,city,state,zip,telehealth,acceptingNewClients,insurance,modalities,website,intakeUrl,directionsUrl,parkingUrl,notes,sourceUrl,verified,lastVerified,featured,featuredRank,featuredUntil,featuredTagline
il-0001,Demo CBT + ACT Clinic,123 N State St,Chicago,IL,60602,true,true,BCBS|Aetna|United|Cigna,cbt|act|group,https://example.com,https://example.com/intake,https://maps.google.com/?q=123+N+State+St+Chicago+IL,https://example.com/parking,"Downtown; street parking limited; garages nearby",https://example.com/directory,true,2025-12-31,true,1,2026-03-01,"Fast intake • Telehealth"
il-0002,Demo Trauma + EMDR Center,2400 N Lincoln Ave,Chicago,IL,60614,true,false,BCBS|United,emdr|somatic|ifs,https://example.com,,https://maps.google.com/?q=2400+N+Lincoln+Ave+Chicago+IL,,"Waitlist likely; ask about EMDR consult",https://example.com/directory,false,,false,,,
il-0003,Demo DBT Skills Program,555 W Madison St,Chicago,IL,60661,true,true,Aetna|Cigna|United,dbt|group,https://example.com,https://example.com/intake,https://maps.google.com/?q=555+W+Madison+St+Chicago+IL,,"Group-based program; ask about schedule",https://example.com/directory,false,,false,,,
il-0004,Demo Art Therapy Studio,900 W Armitage Ave,Chicago,IL,60614,true,true,BCBS|Aetna,art|somatic|narrative,https://example.com,,https://maps.google.com/?q=900+W+Armitage+Ave+Chicago+IL,,"Free street parking after 6pm (example)",https://example.com/directory,false,,false,,,
il-0005,Demo Music Therapy Practice,1 S Dearborn St,Chicago,IL,60603,true,true,BCBS|United,music|group,https://example.com,,https://maps.google.com/?q=1+S+Dearborn+St+Chicago+IL,,"Near public transit",https://example.com/directory,false,,false,,,
il-0006,Demo OCD / ERP Clinic,250 S Michigan Ave,Chicago,IL,60604,true,true,Aetna|BCBS,erp|cbt,https://example.com,,https://maps.google.com/?q=250+S+Michigan+Ave+Chicago+IL,,"ERP-focused; ask about OCD specialization",https://example.com/directory,false,,false,,,
il-0007,Demo Psychodynamic Therapist,2000 W North Ave,Chicago,IL,60647,true,true,Cigna|BCBS,psychodynamic|ifs,https://example.com,,https://maps.google.com/?q=2000+W+North+Ave+Chicago+IL,,"Evening appointments (example)",https://example.com/directory,false,,false,,,
il-0008,Demo Couples + Family Practice,1603 Orrington Ave,Evanston,IL,60201,true,true,Aetna|Cigna,family|cbt,https://example.com,,https://maps.google.com/?q=1603+Orrington+Ave+Evanston+IL,,"Metered street parking",https://example.com/directory,false,,false,,,
il-0009,Demo Somatic Clinic (Suburbs),2500 Ridge Ave,Evanston,IL,60201,true,true,United|BCBS,somatic|emdr|ifs,https://example.com,,https://maps.google.com/?q=2500+Ridge+Ave+Evanston+IL,,"Ask about body-based trauma stabilization",https://example.com/directory,false,,false,,,
il-0010,Demo Therapy Practice (Oak Park),100 N Marion St,Oak Park,IL,60301,true,true,BCBS|Aetna,cbt|act|group,https://example.com,,https://maps.google.com/?q=100+N+Marion+St+Oak+Park+IL,,"Garage across the street",https://example.com/directory,false,,false,,,
il-0011,Demo IFS Therapist (Naperville),50 S Main St,Naperville,IL,60540,true,true,Cigna|United,ifs|psychodynamic|act,https://example.com,,https://maps.google.com/?q=50+S+Main+St+Naperville+IL,,"Free parking lot behind building",https://example.com/directory,false,,false,,,
il-0012,Demo Trauma Therapist (Peoria),200 SW Jefferson Ave,Peoria,IL,61602,true,true,BCBS|Aetna,emdr|somatic|cbt,https://example.com,,https://maps.google.com/?q=200+SW+Jefferson+Ave+Peoria+IL,,"Check downtown parking meters",https://example.com/directory,false,,false,,,
il-0013,Demo Counseling Center (Champaign),30 E Main St,Champaign,IL,61820,true,true,United|Cigna,cbt|dbt|act|group,https://example.com,,https://maps.google.com/?q=30+E+Main+St+Champaign+IL,,"Near campus; bus-friendly",https://example.com/directory,false,,false,,,
il-0014,Demo Practice (Springfield),1 S Old State Capitol Plaza,Springfield,IL,62701,true,true,BCBS|Aetna,cbt|psychodynamic|narrative,https://example.com,,https://maps.google.com/?q=1+S+Old+State+Capitol+Plaza+Springfield+IL,,"Garages nearby",https://example.com/directory,false,,false,,,
